0000 00ff
0040 00bf
0020 00df
0060 009f
0010 00ef
0050 00af
0030 00cf
0070 008f
0008 00f7
0048 00b7
0028 00d7
0068 0097
0018 00e7
0058 00a7
0038 00c7
0078 0087
0004 00fb
0044 00bb
0024 00db
0064 009b
0014 00eb
0054 00ab
0034 00cb
0074 008b
000c 00f3
004c 00b3
002c 00d3
006c 0093
001c 00e3
005c 00a3
003c 00c3
007c 0083
0002 00fd
0042 00bd
0022 00dd
0062 009d
0012 00ed
0052 00ad
0032 00cd
0072 008d
000a 00f5
004a 00b5
002a 00d5
006a 0095
001a 00e5
005a 00a5
003a 00c5
007a 0085
0006 00f9
0046 00b9
0026 00d9
0066 0099
0016 00e9
0056 00a9
0036 00c9
0076 0089
000e 00f1
004e 00b1
002e 00d1
006e 0091
001e 00e1
005e 00a1
003e 00c1
007e 0081
0001 00fe
0041 00be
0021 00de
0061 009e
0011 00ee
0051 00ae
0031 00ce
0071 008e
0009 00f6
0049 00b6
0029 00d6
0069 0096
0019 00e6
0059 00a6
0039 00c6
0079 0086
0005 00fa
0045 00ba
0025 00da
0065 009a
0015 00ea
0055 00aa
0035 00ca
0075 008a
000d 00f2
004d 00b2
002d 00d2
006d 0092
001d 00e2
005d 00a2
003d 00c2
007d 0082
0003 00fc
0043 00bc
0023 00dc
0063 009c
0013 00ec
0053 00ac
0033 00cc
0073 008c
000b 00f4
004b 00b4
002b 00d4
006b 0094
001b 00e4
005b 00a4
003b 00c4
007b 0084
0007 00f8
0047 00b8
0027 00d8
0067 0098
0017 00e8
0057 00a8
0037 00c8
0077 0088
000f 00f0
004f 00b0
002f 00d0
006f 0090
001f 00e0
005f 00a0
003f 00c0
007f 0080
0080 007f
00c0 003f
00a0 005f
00e0 001f
0090 006f
00d0 002f
00b0 004f
00f0 000f
0088 0077
00c8 0037
00a8 0057
00e8 0017
0098 0067
00d8 0027
00b8 0047
00f8 0007
0084 007b
00c4 003b
00a4 005b
00e4 001b
0094 006b
00d4 002b
00b4 004b
00f4 000b
008c 0073
00cc 0033
00ac 0053
00ec 0013
009c 0063
00dc 0023
00bc 0043
00fc 0003
0082 007d
00c2 003d
00a2 005d
00e2 001d
0092 006d
00d2 002d
00b2 004d
00f2 000d
008a 0075
00ca 0035
00aa 0055
00ea 0015
009a 0065
00da 0025
00ba 0045
00fa 0005
0086 0079
00c6 0039
00a6 0059
00e6 0019
0096 0069
00d6 0029
00b6 0049
00f6 0009
008e 0071
00ce 0031
00ae 0051
00ee 0011
009e 0061
00de 0021
00be 0041
00fe 0001
0081 007e
00c1 003e
00a1 005e
00e1 001e
0091 006e
00d1 002e
00b1 004e
00f1 000e
0089 0076
00c9 0036
00a9 0056
00e9 0016
0099 0066
00d9 0026
00b9 0046
00f9 0006
0085 007a
00c5 003a
00a5 005a
00e5 001a
0095 006a
00d5 002a
00b5 004a
00f5 000a
008d 0072
00cd 0032
00ad 0052
00ed 0012
009d 0062
00dd 0022
00bd 0042
00fd 0002
0083 007c
00c3 003c
00a3 005c
00e3 001c
0093 006c
00d3 002c
00b3 004c
00f3 000c
008b 0074
00cb 0034
00ab 0054
00eb 0014
009b 0064
00db 0024
00bb 0044
00fb 0004
0087 0078
00c7 0038
00a7 0058
00e7 0018
0097 0068
00d7 0028
00b7 0048
00f7 0008
008f 0070
00cf 0030
00af 0050
00ef 0010
009f 0060
00df 0020
00bf 0040
00ff 0000
