Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=0 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  0 read_counter=  0 | write_addr=  0 read_addr=  0 | data_in=    0 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  1 read_counter=  0 | write_addr= 64 read_addr=  0 | data_in=   64 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  2 read_counter=  0 | write_addr= 32 read_addr=  0 | data_in=   32 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  3 read_counter=  0 | write_addr= 96 read_addr=  0 | data_in=   96 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  4 read_counter=  0 | write_addr= 16 read_addr=  0 | data_in=   16 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  5 read_counter=  0 | write_addr= 80 read_addr=  0 | data_in=   80 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  6 read_counter=  0 | write_addr= 48 read_addr=  0 | data_in=   48 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  7 read_counter=  0 | write_addr=112 read_addr=  0 | data_in=  112 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  8 read_counter=  0 | write_addr=  8 read_addr=  0 | data_in=    8 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter=  9 read_counter=  0 | write_addr= 72 read_addr=  0 | data_in=   72 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 10 read_counter=  0 | write_addr= 40 read_addr=  0 | data_in=   40 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 11 read_counter=  0 | write_addr=104 read_addr=  0 | data_in=  104 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 12 read_counter=  0 | write_addr= 24 read_addr=  0 | data_in=   24 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 13 read_counter=  0 | write_addr= 88 read_addr=  0 | data_in=   88 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 14 read_counter=  0 | write_addr= 56 read_addr=  0 | data_in=   56 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 15 read_counter=  0 | write_addr=120 read_addr=  0 | data_in=  120 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 16 read_counter=  0 | write_addr=  4 read_addr=  0 | data_in=    4 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 17 read_counter=  0 | write_addr= 68 read_addr=  0 | data_in=   68 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 18 read_counter=  0 | write_addr= 36 read_addr=  0 | data_in=   36 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 19 read_counter=  0 | write_addr=100 read_addr=  0 | data_in=  100 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 20 read_counter=  0 | write_addr= 20 read_addr=  0 | data_in=   20 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 21 read_counter=  0 | write_addr= 84 read_addr=  0 | data_in=   84 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 22 read_counter=  0 | write_addr= 52 read_addr=  0 | data_in=   52 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 23 read_counter=  0 | write_addr=116 read_addr=  0 | data_in=  116 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 24 read_counter=  0 | write_addr= 12 read_addr=  0 | data_in=   12 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 25 read_counter=  0 | write_addr= 76 read_addr=  0 | data_in=   76 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 26 read_counter=  0 | write_addr= 44 read_addr=  0 | data_in=   44 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 27 read_counter=  0 | write_addr=108 read_addr=  0 | data_in=  108 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 28 read_counter=  0 | write_addr= 28 read_addr=  0 | data_in=   28 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 29 read_counter=  0 | write_addr= 92 read_addr=  0 | data_in=   92 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 30 read_counter=  0 | write_addr= 60 read_addr=  0 | data_in=   60 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 31 read_counter=  0 | write_addr=124 read_addr=  0 | data_in=  124 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 32 read_counter=  0 | write_addr=  2 read_addr=  0 | data_in=    2 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 33 read_counter=  0 | write_addr= 66 read_addr=  0 | data_in=   66 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 34 read_counter=  0 | write_addr= 34 read_addr=  0 | data_in=   34 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 35 read_counter=  0 | write_addr= 98 read_addr=  0 | data_in=   98 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 36 read_counter=  0 | write_addr= 18 read_addr=  0 | data_in=   18 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 37 read_counter=  0 | write_addr= 82 read_addr=  0 | data_in=   82 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 38 read_counter=  0 | write_addr= 50 read_addr=  0 | data_in=   50 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 39 read_counter=  0 | write_addr=114 read_addr=  0 | data_in=  114 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 40 read_counter=  0 | write_addr= 10 read_addr=  0 | data_in=   10 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 41 read_counter=  0 | write_addr= 74 read_addr=  0 | data_in=   74 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 42 read_counter=  0 | write_addr= 42 read_addr=  0 | data_in=   42 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 43 read_counter=  0 | write_addr=106 read_addr=  0 | data_in=  106 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 44 read_counter=  0 | write_addr= 26 read_addr=  0 | data_in=   26 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 45 read_counter=  0 | write_addr= 90 read_addr=  0 | data_in=   90 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 46 read_counter=  0 | write_addr= 58 read_addr=  0 | data_in=   58 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 47 read_counter=  0 | write_addr=122 read_addr=  0 | data_in=  122 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 48 read_counter=  0 | write_addr=  6 read_addr=  0 | data_in=    6 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 49 read_counter=  0 | write_addr= 70 read_addr=  0 | data_in=   70 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 50 read_counter=  0 | write_addr= 38 read_addr=  0 | data_in=   38 data_out=    x
